Grouping,Subset,Property,GroupA,GroupB,nA,nB,MedianA,MedianB,CliffsDelta,DeltaMag,MWU_p,KS_stat,KS_p,MWU_p_BH,KS_p_BH
condition,all,Mass_kDa,MagReSyn 10% FA,MagReSyn 20% FA,582,477,14.01,13.994,0.07,negligible,0.05115033098681666,0.107,0.004507792244005586,0.11508824472033748,0.010818701385613406
condition,all,Mass_kDa,MagReSyn 10% FA,Cytiva 0.5% TFA,582,568,14.01,14.026,-0.007,negligible,0.8302041535466587,0.035,0.8551595768038641,0.8302041535466587,0.8795927075696888
condition,all,Mass_kDa,MagReSyn 10% FA,Cytiva 2% TFA,582,439,14.01,13.88,0.124,negligible,0.0006538656300034618,0.199,3.78886350471937e-09,0.005476924241728181,3.4099771542474334e-08
condition,all,Mass_kDa,MagReSyn 10% FA,Cytiva 10% FA,582,544,14.01,14.008,0.041,negligible,0.23949737542949678,0.092,0.01603228923300876,0.3320298289064624,0.02748392439944359
condition,all,Mass_kDa,MagReSyn 10% FA,Cytiva 20% FA,582,508,14.01,13.993,0.099,negligible,0.004715160054173123,0.136,7.309947855249354e-05,0.018860640216692492,0.00021929843565748062
condition,all,Mass_kDa,MagReSyn 20% FA,Cytiva 0.5% TFA,477,568,13.994,14.026,-0.084,negligible,0.0188852111194514,0.114,0.0021393502977996416,0.0566556333583542,0.005501186480056221
condition,all,Mass_kDa,MagReSyn 20% FA,Cytiva 2% TFA,477,439,13.994,13.88,0.049,negligible,0.20074615676654595,0.095,0.028939825965236844,0.3142113758085067,0.04167334938994106
condition,all,Mass_kDa,MagReSyn 20% FA,Cytiva 10% FA,477,544,13.994,14.008,-0.043,negligible,0.2397993208768895,0.077,0.09469803628145104,0.3320298289064624,0.11755618297007715
condition,all,Mass_kDa,MagReSyn 20% FA,Cytiva 20% FA,477,508,13.994,13.993,0.017,negligible,0.6505203416560683,0.103,0.010154748474319141,0.669106637131956,0.01924057605660469
condition,all,Mass_kDa,Cytiva 0.5% TFA,Cytiva 2% TFA,568,439,14.026,13.88,0.145,negligible,7.681788727953479e-05,0.205,1.2397345696679791e-09,0.0012437585993958873,2.2786646237862863e-08
